lat,lon,date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.22,28.84,202211,6.49,0.41,67.58,1.14
41.22,28.84,202212,4.66,0.36,69.79,1.31
41.22,28.84,202213,14.89,0.54,51.29,1.51
41.22,28.84,202301,5.51,0.38,69.94,0.72
41.22,28.84,202302,8.89,0.45,66.0,1.83
41.22,28.84,202303,11.1,0.41,71.25,2.49
41.22,28.84,202304,15.63,0.45,72.39,3.07
41.22,28.84,202305,18.84,0.48,71.78,1.24
41.22,28.84,202306,24.01,0.58,45.28,0.86
41.22,28.84,202307,26.15,0.65,23.83,0.33
41.22,28.84,202308,21.47,0.59,31.41,0.3
41.22,28.84,202309,16.72,0.56,46.02,0.71
41.22,28.84,202310,11.52,0.52,49.57,1.15
41.22,28.84,202311,6.49,0.41,68.19,6.37
41.22,28.84,202312,4.82,0.38,64.93,2.3
41.22,28.84,202313,14.26,0.51,56.72,1.78
41.22,28.87,202001,5.88,0.41,67.27,2.96
41.22,28.87,202002,8.94,0.45,65.83,2.29
41.22,28.87,202003,12.22,0.45,62.63,1.31
41.22,28.87,202004,18.39,0.53,49.17,1.15
41.22,28.87,202005,21.1,0.53,63.47,2.22
41.22,28.87,202006,24.14,0.58,49.41,1.66
41.22,28.87,202007,25.96,0.64,23.86,0.13
41.22,28.87,202008,22.77,0.63,28.51,0.26
41.22,28.87,202009,17.14,0.58,36.2,0.54
41.22,28.87,202010,10.9,0.5,47.13,2.53
41.22,28.87,202011,5.87,0.37,66.43,1.35
41.22,28.87,202012,3.93,0.31,81.12,1.09
41.22,28.87,202013,14.77,0.53,53.42,1.46
41.22,28.87,202101,5.5,0.38,75.67,5.35
41.22,28.87,202102,9.02,0.45,64.8,1.93
41.22,28.87,202103,12.06,0.44,65.58,2.46
41.22,28.87,202104,16.9,0.49,63.67,1.57
41.22,28.87,202105,21.98,0.56,54.68,1.26
41.22,28.87,202106,22.98,0.55,48.82,1.83
41.22,28.87,202107,24.9,0.62,28.68,0.58
41.22,28.87,202108,22.45,0.62,25.99,0.22
41.22,28.87,202109,15.82,0.54,53.98,0.6
41.22,28.87,202110,8.63,0.39,69.79,1.34
41.22,28.87,202111,6.25,0.4,70.03,2.15
41.22,28.87,202112,4.45,0.35,77.37,2.58
41.22,28.87,202113,14.24,0.51,58.25,1.82
41.22,28.87,202201,6.03,0.42,67.2,1.69
41.22,28.87,202202,8.67,0.44,60.71,3.94
41.22,28.87,202203,11.74,0.43,73.13,1.51
41.22,28.87,202204,17.91,0.52,56.25,1.59
41.22,28.87,202205,24.39,0.62,41.91,0.62
41.22,28.87,202206,23.46,0.56,42.77,1.52
41.22,28.87,202207,26.68,0.66,19.05,1.52
41.22,28.87,202208,20.87,0.58,32.62,1.77
41.22,28.87,202209,16.33,0.55,37.45,0.77
41.22,28.87,202210,11.49,0.52,47.01,0.77
41.22,28.87,202211,6.49,0.41,67.58,1.14
41.22,28.87,202212,4.66,0.36,69.79,1.31
41.22,28.87,202213,14.89,0.54,51.29,1.51
41.22,28.87,202301,5.51,0.38,69.94,0.72
41.22,28.87,202302,8.89,0.45,66.0,1.83
41.22,28.87,202303,11.1,0.41,71.25,2.49
41.22,28.87,202304,15.63,0.45,72.39,3.07
41.22,28.87,202305,18.84,0.48,71.78,1.24
41.22,28.87,202306,24.01,0.58,45.28,0.86
41.22,28.87,202307,26.15,0.65,23.83,0.33
41.22,28.87,202308,21.47,0.59,31.41,0.3
41.22,28.87,202309,16.72,0.56,46.02,0.71
41.22,28.87,202310,11.52,0.52,49.57,1.15
41.22,28.87,202311,6.49,0.41,68.19,6.37
41.22,28.87,202312,4.82,0.38,64.93,2.3
41.22,28.87,202313,14.26,0.51,56.72,1.78
41.22,28.9,202001,5.88,0.41,67.27,2.96
41.22,28.9,202002,8.94,0.45,65.83,2.29
41.22,28.9,202003,12.22,0.45,62.63,1.31
41.22,28.9,202004,18.39,0.53,49.17,1.15
41.22,28.9,202005,21.1,0.53,63.47,2.22
41.22,28.9,202006,24.14,0.58,49.41,1.66
41.22,28.9,202007,25.96,0.64,23.86,0.13
41.22,28.9,202008,22.77,0.63,28.51,0.26
41.22,28.9,202009,17.14,0.58,36.2,0.54
41.22,28.9,202010,10.9,0.5,47.13,2.53
41.22,28.9,202011,5.87,0.37,66.43,1.35
41.22,28.9,202012,3.93,0.31,81.12,1.09
41.22,28.9,202013,14.77,0.53,53.42,1.46
41.22,28.9,202101,5.5,0.38,75.67,5.35
41.22,28.9,202102,9.02,0.45,64.8,1.93
41.22,28.9,202103,12.06,0.44,65.58,2.46
41.22,28.9,202104,16.9,0.49,63.67,1.57
41.22,28.9,202105,21.98,0.56,54.68,1.26
41.22,28.9,202106,22.98,0.55,48.82,1.83
41.22,28.9,202107,24.9,0.62,28.68,0.58
41.22,28.9,202108,22.45,0.62,25.99,0.22
41.22,28.9,202109,15.82,0.54,53.98,0.6
41.22,28.9,202110,8.63,0.39,69.79,1.34
41.22,28.9,202111,6.25,0.4,70.03,2.15
41.22,28.9,202112,4.45,0.35,77.37,2.58
41.22,28.9,202113,14.24,0.51,58.25,1.82
41.22,28.9,202201,6.03,0.42,67.2,1.69
41.22,28.9,202202,8.67,0.44,60.71,3.94
41.22,28.9,202203,11.74,0.43,73.13,1.51
41.22,28.9,202204,17.91,0.52,56.25,1.59
41.22,28.9,202205,24.39,0.62,41.91,0.62
41.22,28.9,202206,23.46,0.56,42.77,1.52
41.22,28.9,202207,26.68,0.66,19.05,1.52
41.22,28.9,202208,20.87,0.58,32.62,1.77
41.22,28.9,202209,16.33,0.55,37.45,0.77
41.22,28.9,202210,11.49,0.52,47.01,0.77
41.22,28.9,202211,6.49,0.41,67.58,1.14
41.22,28.9,202212,4.66,0.36,69.79,1.31
41.22,28.9,202213,14.89,0.54,51.29,1.51
41.22,28.9,202301,5.51,0.38,69.94,0.72
41.22,28.9,202302,8.89,0.45,66.0,1.83
41.22,28.9,202303,11.1,0.41,71.25,2.49
41.22,28.9,202304,15.63,0.45,72.39,3.07
41.22,28.9,202305,18.84,0.48,71.78,1.24
41.22,28.9,202306,24.01,0.58,45.28,0.86
41.22,28.9,202307,26.15,0.65,23.83,0.33
41.22,28.9,202308,21.47,0.59,31.41,0.3
41.22,28.9,202309,16.72,0.56,46.02,0.71
41.22,28.9,202310,11.52,0.52,49.57,1.15
41.22,28.9,202311,6.49,0.41,68.19,6.37
41.22,28.9,202312,4.82,0.38,64.93,2.3
41.22,28.9,202313,14.26,0.51,56.72,1.78
41.22,28.93,202001,5.88,0.41,67.27,2.96
41.22,28.93,202002,8.94,0.45,65.83,2.29
41.22,28.93,202003,12.22,0.45,62.63,1.31
41.22,28.93,202004,18.39,0.53,49.17,1.15
41.22,28.93,202005,21.1,0.53,63.47,2.22
41.22,28.93,202006,24.14,0.58,49.41,1.66
41.22,28.93,202007,25.96,0.64,23.86,0.13
41.22,28.93,202008,22.77,0.63,28.51,0.26
41.22,28.93,202009,17.14,0.58,36.2,0.54
41.22,28.93,202010,10.9,0.5,47.13,2.53
41.22,28.93,202011,5.87,0.37,66.43,1.35
41.22,28.93,202012,3.93,0.31,81.12,1.09
41.22,28.93,202013,14.77,0.53,53.42,1.46
41.22,28.93,202101,5.5,0.38,75.67,5.35
41.22,28.93,202102,9.02,0.45,64.8,1.93
41.22,28.93,202103,12.06,0.44,65.58,2.46
41.22,28.93,202104,16.9,0.49,63.67,1.57
41.22,28.93,202105,21.98,0.56,54.68,1.26
41.22,28.93,202106,22.98,0.55,48.82,1.83
41.22,28.93,202107,24.9,0.62,28.68,0.58
41.22,28.93,202108,22.45,0.62,25.99,0.22
41.22,28.93,202109,15.82,0.54,53.98,0.6
41.22,28.93,202110,8.63,0.39,69.79,1.34
41.22,28.93,202111,6.25,0.4,70.03,2.15
41.22,28.93,202112,4.45,0.35,77.37,2.58
41.22,28.93,202113,14.24,0.51,58.25,1.82
41.22,28.93,202201,6.03,0.42,67.2,1.69
41.22,28.93,202202,8.67,0.44,60.71,3.94
41.22,28.93,202203,11.74,0.43,73.13,1.51
41.22,28.93,202204,17.91,0.52,56.25,1.59
41.22,28.93,202205,24.39,0.62,41.91,0.62
41.22,28.93,202206,23.46,0.56,42.77,1.52
41.22,28.93,202207,26.68,0.66,19.05,1.52
41.22,28.93,202208,20.87,0.58,32.62,1.77
41.22,28.93,202209,16.33,0.55,37.45,0.77
41.22,28.93,202210,11.49,0.52,47.01,0.77
41.22,28.93,202211,6.49,0.41,67.58,1.14
41.22,28.93,202212,4.66,0.36,69.79,1.31
41.22,28.93,202213,14.89,0.54,51.29,1.51
41.22,28.93,202301,5.51,0.38,69.94,0.72
41.22,28.93,202302,8.89,0.45,66.0,1.83
41.22,28.93,202303,11.1,0.41,71.25,2.49
41.22,28.93,202304,15.63,0.45,72.39,3.07
41.22,28.93,202305,18.84,0.48,71.78,1.24
41.22,28.93,202306,24.01,0.58,45.28,0.86
41.22,28.93,202307,26.15,0.65,23.83,0.33
